"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",-0.00533139279482559,-0.00553231650487598,-0.00531379363478173,-0.00642266867020098,-0.00565572211254654,-0.00730546679941946,-0.00474973382138623,-0.00298423789420563,-0.00255646806517722,-0.00552270186535269,-0.00345936654850385,-0.00380151283875077,-0.00301416378694546,-0.0036585778765676,-0.00490569035242292,-0.00550509829603649,-0.00352233396959966,-0.00494146485516887,-0.00499657375635168,-0.00736322774362465
"2",-0.00485634048806347,-0.00445110538615829,-0.00593258601052773,-0.00631413702127699,-0.00592252348139929,-0.00516688798505525,-0.00380660696082307,-0.00496382423786341,-0.00340331455881832,-0.00461904217553473,-0.00480670548515895,-0.00495242038036552,-0.00371556777521213,-0.00398671683227339,-0.00659271262562917,-0.00542196759653864,-0.00377670489268468,-0.00591981155575854,-0.00492509712824603,-0.00615446980457475
"3",-0.00620326281150093,-0.00489663811956053,-0.00733653996443256,-0.00663193693401229,-0.00556710440959517,-0.00566567359011587,-0.00476665047332963,-0.00496505392715794,-0.0039190141259788,-0.00533446880454629,-0.0053552574725739,-0.00361478391262811,-0.00416240825699695,-0.00462375483985398,-0.00569691393141575,-0.00515095196352547,-0.00439851883632966,-0.0049937740480932,-0.005700301283185,-0.00606565135838255
"4",-0.00608300899865827,-0.00642867713524368,-0.00646351431945537,-0.00501067563104351,-0.00424395435902506,-0.00499531513019433,-0.0036296043878723,-0.0059229654069712,-0.00553376964735638,-0.00412449898828001,-0.00442469002481991,-0.00607661249353637,-0.00407993220571416,-0.00332692523106144,-0.00408803230999493,-0.00410322340319688,-0.00317881552258678,-0.00316692437898134,-0.00350683500041559,-0.00415222432113533
"5",-0.0077714324188183,-0.00608019120009692,-0.00567312260000271,-0.0039733113372679,-0.00291165281067349,0.000381699843835609,-0.00339091571023046,-0.0047042933343547,-0.00352801360218236,-0.0020840275474318,-0.00474721574056141,-0.00456278461218616,-0.00430654525586859,-0.00365426705740774,-0.00419055991331133,-0.00139969259798837,-0.00392167871104509,-0.00136815939432638,-0.00220505024887498,-0.00292157897018711
"6",-0.00756976152220509,-0.00574097789186427,-0.00456573076689292,-0.00180160180520416,-0.00120814272478022,-0.00023821213212881,-0.00208789791766,-0.00169088883635122,-0.00215997132629157,-0.00378711621863967,-0.00237479583719119,-0.00287023413246121,-0.00443226581144528,-0.00285662289391343,-0.00290016282525673,-0.00205372468281096,-0.00224396973452693,-0.000725564044535511,-0.00234093511003743,-0.00323020093663415
"7",-0.00783426020451715,-0.00582830308938466,-0.0023628242186213,0.000735494019037028,-0.000776554313968259,-0.000209557629968137,-0.000624662336725977,-0.00229513973096188,-0.00192767087032746,-0.00303892323466449,-0.00381596963897894,-0.00496624295407289,-0.00418082867363402,-0.00258623245638367,-0.00327707396927954,-0.00326303465709295,-0.00194016377074378,-0.00100256266843843,-0.00122295882723026,-0.0025330114475106
"8",-0.00840889114179681,-0.00501130628250268,-0.00384531726309752,-0.00116740019900806,4.73541516288102e-05,-0.000614871815471408,-0.0029652202430345,-0.00223039538721875,-0.0018334601660941,-0.00354419317330842,-0.00472971774711541,-0.00452647957284101,-0.00486759137914679,-0.0040842672365705,-0.00316618796878188,-0.00368702502614464,-0.00382748891943227,-0.00214238924162838,-0.0031294889334054,-0.00233704865668584
"9",-0.00607942031318608,-0.00613990637898157,-0.00406753479183442,-0.00300521338721766,-0.00181325824166703,-0.00441991044614531,-0.00329452878234197,-0.00352735051551566,-0.00486136524784017,-0.00577680360047565,-0.00302198464197088,-0.00542226913040849,-0.00362423000988522,-0.00414578192877153,-0.00223372191216699,-0.00284135940337999,-0.00240294741808936,-0.00338066233055086,-0.00312610371979859,-0.00258944359396316
"10",-0.00601708408367347,-0.00623142268877903,-0.00459876598253151,-0.00427394804212039,-0.0041117076564725,-0.00326221066329563,-0.00439371775506531,-0.00500039334696915,-0.00519878927701263,-0.00499333890408282,-0.00413572001947156,-0.00520167885091024,-0.00253067822393123,-0.00250151006009626,-0.00262662276523489,-0.00140787292650771,-0.00185097564291802,-0.00158730870802297,-0.00138594050097929,-0.00170943460201824
"11",-0.00468235362692053,-0.00607378689537185,-0.00727189140236784,-0.00575999603087219,-0.00458489439512424,-0.0030491914656392,-0.00449739823932227,-0.00473033459438274,-0.00408221466354754,-0.00370483743172451,-0.00284997120799179,-0.0023799030119717,-0.00118882764596935,-0.0010882126965318,-0.00135735121390156,-0.000125685007774801,-0.000882930589167322,-0.00128072301660519,-0.000619469924609144,9.53295847992521e-05
