"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"2",8,5.09034013748169,4.71238899230957,4.49669456481934,1.57079637050629,4.71238899230957,1.43611514568329,1.55432438850403,4.90085792541504,4.71238899230957,1.57079637050629,1.70189046859741,4.71238899230957,5.11390113830566,4.71238899230957,4.5494704246521,1.35720300674438,1.57079637050629,4.71238899230957,8
"3",8,0,8,3.14159274101257,0,5.49778699874878,4.71238899230957,3.92699074745178,0,8,3.14159274101257,3.17472743988037,8,0,8,3.14159274101257,3.15450167655945,0,8,8
"4",8,0.785398185253143,1.57079637050629,2.64868521690369,0.785398185253143,0,8,3.14159274101257,1.18469083309174,1.57079637050629,5.49778699874878,4.71238899230957,3.92699074745178,4.71238899230957,1.57079637050629,4.71238899230957,3.71096158027649,0.785398185253143,1.57079637050629,8
"5",8,1.57079637050629,3.08015322685242,3.92699074745178,1.57079637050629,0.528812885284424,1.57079637050629,5.49778699874878,4.71238899230957,3.92699074745178,0,8,3.14159274101257,8,0,8,3.14159274101257,3.92699074745178,3.14159274101257,8
"6",8,1.57079637050629,5.49778699874878,4.71238899230957,5.11394691467285,4.71238899230957,1.57079637050629,0,8,3.14159274101257,0.785398185253143,1.57079637050629,4.71238899230957,1.57079637050629,0.785398185253143,1.57079637050629,2.35619449615479,3.14159274101257,4.71238899230957,8
"7",8,4.71238899230957,0,8,0,5.49778699874878,4.71238899230957,3.92699074745178,1.57079637050629,2.93196368217468,4.97338533401489,4.71238899230957,3.92699074745178,0,5.49778699874878,4.71238899230957,4.39256191253662,0,5.49778699874878,8
"8",8,8,3.14159274101257,1.57079637050629,5.49778699874878,0,8,3.14159274101257,5.49778699874878,4.71238899230957,3.92699074745178,3.92699074745178,5.49778699874878,4.71238899230957,3.92699074745178,3.92699074745178,3.14159274101257,5.49778699874878,4.71238899230957,8
"9",8,4.71238899230957,3.92699074745178,5.49778699874878,6.18472290039062,0.785398185253143,1.57079637050629,2.35619449615479,0,8,3.14159274101257,4.71238899230957,0,8,3.14159274101257,3.14159274101257,5.49778699874878,0,8,8
"10",8,8,3.14159274101257,5.3473072052002,4.71238899230957,3.92699074745178,3.14159274101257,0,0.785398185253143,1.57079637050629,2.35619449615479,8,5.49778699874878,4.71238899230957,3.92699074745178,4.71238899230957,5.69131422042847,4.71238899230957,3.51101303100586,8
"11",8,1.57079637050629,2.39027881622314,5.78425073623657,4.71238899230957,3.37632584571838,1.7396000623703,0.199964076280594,1.57079637050629,2.96039485931396,4.71238899230957,1.57079637050629,0,8,3.14159274101257,4.71238899230957,0,8,3.14159274101257,8
"12",8,8,3.14159274101257,6.1723575592041,5.49778699874878,4.71238899230957,3.92699074745178,0.785398185253143,1.57079637050629,0,5.49778699874878,4.71238899230957,3.92699074745178,1.57079637050629,2.35619449615479,3.92699074745178,0.785398185253143,1.57079637050629,2.45478320121765,8
"13",8,1.57079637050629,2.35619449615479,0,0,8,3.14159274101257,3.31583261489868,5.49778699874878,4.71238899230957,0,8,3.14159274101257,4.71238899230957,3.92699074745178,3.14159274101257,0,8,3.14159274101257,8
"14",8,1.57079637050629,0,0.785398185253143,1.12840116024017,1.57079637050629,2.35619449615479,3.14159274101257,0,8,3.14159274101257,1.57079637050629,2.35619449615479,8,3.14159274101257,2.35619449615479,0.785398185253143,5.49778699874878,4.71238899230957,8
"15",8,4.71238899230957,3.96329212188721,1.57079637050629,4.48634195327759,5.49778699874878,4.86346817016602,4.87162017822266,4.71238899230957,1.57079637050629,2.05174827575684,1.57079637050629,5.49778699874878,4.71238899230957,4.67602109909058,3.92699074745178,1.70050036907196,5.61131811141968,4.71238899230957,8
"16",8,8,3.14159274101257,3.92699074745178,4.71238899230957,0,0,0,8,3.14159274101257,4.71238899230957,3.23414754867554,0,8,3.14159274101257,3.14159274101257,5.2227897644043,0,8,8
"17",8,1.57079637050629,2.35619449615479,3.14159274101257,5.49778699874878,4.71238899230957,5.24146223068237,4.71238899230957,1.57079637050629,4.71238899230957,3.92699074745178,3.14408683776855,0.785398185253143,1.57079637050629,4.71238899230957,3.92699074745178,0,0.785398185253143,1.57079637050629,8
"18",8,4.71238899230957,4.68839502334595,4.56106281280518,0,5.49778699874878,0,8,3.14159274101257,8,3.14159274101257,5.49778699874878,4.71238899230957,0,8,3.14159274101257,0.785398185253143,6.10132646560669,5.14623165130615,8
"19",8,3.92699074745178,5.49778699874878,4.71238899230957,3.87801384925842,4.71238899230957,4.08847332000732,5.49778699874878,5.49778699874878,4.71238899230957,4.00957250595093,0,5.49778699874878,4.71238899230957,4.44363451004028,3.92699074745178,6.03200721740723,0,0,8
"20",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
