"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 8 8 8 8 8 8 8 8 8 8
"2" 8 4.53414869308472 4.71238899230957 5.34401702880859 4.92671918869019 4.71238899230957 3.92699074745178 5.49778699874878 5.13074111938477 8
"3" 8 5.49564790725708 4.71238899230957 3.92699074745178 4.71238899230957 5.49778699874878 4.71238899230957 4.30919647216797 5.49778699874878 8
"4" 8 4.15809488296509 4.71238899230957 4.94949865341187 4.83740472793579 4.71238899230957 3.92699074745178 5.49778699874878 4.71238899230957 8
"5" 8 4.71238899230957 4.68481159210205 4.68341779708862 5.10675573348999 4.83690881729126 4.71238899230957 4.63934469223022 5.46769237518311 8
"6" 8 4.2315731048584 3.92699074745178 5.23821067810059 4.80447244644165 4.71238899230957 4.50595188140869 5.04256963729858 4.71238899230957 8
"7" 8 4.71238899230957 4.50914287567139 4.05350780487061 4.7758674621582 4.71238899230957 4.18588733673096 4.71238899230957 5.49778699874878 8
"8" 8 4.45358085632324 4.09673881530762 5.49778699874878 4.71238899230957 4.14457845687866 5.19568204879761 4.71238899230957 4.67341184616089 8
"9" 8 4.71238899230957 4.60388374328613 4.64493083953857 5.49778699874878 4.71238899230957 5.08085489273071 4.81499767303467 4.71238899230957 8
"10" 8 8 8 8 8 8 8 8 8 8
